** FASE 1: Generazione dei 4-subset a distanza casuale (4)
** Base set: 0000000000000000000000000001111 {a, b, c, d}
 278 [4]: (005220) 0000000000000000101001000100000 {f, j, m, o}
 279 [4]: (005240) 0000000000000000101001001000000 {g, j, m, o}
 280 [4]: (005280) 0000000000000000101001010000000 {h, j, m, o}
 281 [4]: (005300) 0000000000000000101001100000000 {i, j, m, o}
 282 [4]: (005410) 0000000000000000101010000010000 {e, k, m, o}
 283 [4]: (005420) 0000000000000000101010000100000 {f, k, m, o}
 284 [4]: (005440) 0000000000000000101010001000000 {g, k, m, o}
 285 [4]: (005480) 0000000000000000101010010000000 {h, k, m, o}
 286 [4]: (005500) 0000000000000000101010100000000 {i, k, m, o}
 287 [4]: (005600) 0000000000000000101011000000000 {j, k, m, o}
 288 [4]: (005810) 0000000000000000101100000010000 {e, l, m, o}
 289 [4]: (005820) 0000000000000000101100000100000 {f, l, m, o}
 290 [4]: (005840) 0000000000000000101100001000000 {g, l, m, o}
 291 [4]: (005880) 0000000000000000101100010000000 {h, l, m, o}
 292 [4]: (005900) 0000000000000000101100100000000 {i, l, m, o}
 293 [4]: (005A00) 0000000000000000101101000000000 {j, l, m, o}
 294 [4]: (005C00) 0000000000000000101110000000000 {k, l, m, o}
 295 [4]: (006030) 0000000000000000110000000110000 {e, f, n, o}
 296 [4]: (006050) 0000000000000000110000001010000 {e, g, n, o}
 297 [4]: (006060) 0000000000000000110000001100000 {f, g, n, o}
 298 [4]: (006090) 0000000000000000110000010010000 {e, h, n, o}
 299 [4]: (0060A0) 0000000000000000110000010100000 {f, h, n, o}
 300 [4]: (0060C0) 0000000000000000110000011000000 {g, h, n, o}
 301 [4]: (006110) 0000000000000000110000100010000 {e, i, n, o}
 302 [4]: (006120) 0000000000000000110000100100000 {f, i, n, o}
 303 [4]: (006140) 0000000000000000110000101000000 {g, i, n, o}
 304 [4]: (006180) 0000000000000000110000110000000 {h, i, n, o}
 305 [4]: (006210) 0000000000000000110001000010000 {e, j, n, o}
 306 [4]: (006220) 0000000000000000110001000100000 {f, j, n, o}
