** FASE 1: Generazione dei 4-subset a distanza casuale (1)
** Base set: 000000001111 {a, b, c, d}
 311 [3]: (000D04) 110100000100 {c, i, k, l}
 312 [3]: (000E04) 111000000100 {c, j, k, l}
 313 [3]: (000072) 000001110010 {b, e, f, g}
 314 [3]: (0000B2) 000010110010 {b, e, f, h}
 315 [3]: (0000D2) 000011010010 {b, e, g, h}
 316 [3]: (0000E2) 000011100010 {b, f, g, h}
 317 [3]: (000132) 000100110010 {b, e, f, i}
 318 [3]: (000152) 000101010010 {b, e, g, i}
 319 [3]: (000162) 000101100010 {b, f, g, i}
 320 [3]: (000192) 000110010010 {b, e, h, i}
 321 [3]: (0001A2) 000110100010 {b, f, h, i}
 322 [3]: (0001C2) 000111000010 {b, g, h, i}
 323 [3]: (000232) 001000110010 {b, e, f, j}
 324 [3]: (000252) 001001010010 {b, e, g, j}
 325 [3]: (000262) 001001100010 {b, f, g, j}
 326 [3]: (000292) 001010010010 {b, e, h, j}
 327 [3]: (0002A2) 001010100010 {b, f, h, j}
 328 [3]: (0002C2) 001011000010 {b, g, h, j}
 329 [3]: (000312) 001100010010 {b, e, i, j}
 330 [3]: (000322) 001100100010 {b, f, i, j}
 331 [3]: (000342) 001101000010 {b, g, i, j}
 332 [3]: (000382) 001110000010 {b, h, i, j}
 333 [3]: (000432) 010000110010 {b, e, f, k}
 334 [3]: (000452) 010001010010 {b, e, g, k}
 335 [3]: (000462) 010001100010 {b, f, g, k}
 336 [3]: (000492) 010010010010 {b, e, h, k}
 337 [3]: (0004A2) 010010100010 {b, f, h, k}
 338 [3]: (0004C2) 010011000010 {b, g, h, k}
 339 [3]: (000512) 010100010010 {b, e, i, k}
 340 [3]: (000522) 010100100010 {b, f, i, k}
 341 [3]: (000542) 010101000010 {b, g, i, k}
 342 [3]: (000582) 010110000010 {b, h, i, k}
 343 [3]: (000612) 011000010010 {b, e, j, k}
 344 [3]: (000622) 011000100010 {b, f, j, k}
 345 [3]: (000642) 011001000010 {b, g, j, k}
 346 [3]: (000682) 011010000010 {b, h, j, k}
 347 [3]: (000702) 011100000010 {b, i, j, k}
 348 [3]: (000832) 100000110010 {b, e, f, l}
 349 [3]: (000852) 100001010010 {b, e, g, l}
 350 [3]: (000862) 100001100010 {b, f, g, l}
 351 [3]: (000892) 100010010010 {b, e, h, l}
 352 [3]: (0008A2) 100010100010 {b, f, h, l}
 353 [3]: (0008C2) 100011000010 {b, g, h, l}
 354 [3]: (000912) 100100010010 {b, e, i, l}
 355 [3]: (000922) 100100100010 {b, f, i, l}
 356 [3]: (000942) 100101000010 {b, g, i, l}
 357 [3]: (000982) 100110000010 {b, h, i, l}
 358 [3]: (000A12) 101000010010 {b, e, j, l}
 359 [3]: (000A22) 101000100010 {b, f, j, l}
 360 [3]: (000A42) 101001000010 {b, g, j, l}
 361 [3]: (000A82) 101010000010 {b, h, j, l}
 362 [3]: (000B02) 101100000010 {b, i, j, l}
 363 [3]: (000C12) 110000010010 {b, e, k, l}
 364 [3]: (000C22) 110000100010 {b, f, k, l}
 365 [3]: (000C42) 110001000010 {b, g, k, l}
 366 [3]: (000C82) 110010000010 {b, h, k, l}
 367 [3]: (000D02) 110100000010 {b, i, k, l}
 368 [3]: (000E02) 111000000010 {b, j, k, l}
 369 [3]: (000071) 000001110001 {a, e, f, g}
 370 [3]: (0000B1) 000010110001 {a, e, f, h}
 371 [3]: (0000D1) 000011010001 {a, e, g, h}
 372 [3]: (0000E1) 000011100001 {a, f, g, h}
 373 [3]: (000131) 000100110001 {a, e, f, i}
 374 [3]: (000151) 000101010001 {a, e, g, i}
 375 [3]: (000161) 000101100001 {a, f, g, i}
 376 [3]: (000191) 000110010001 {a, e, h, i}
 377 [3]: (0001A1) 000110100001 {a, f, h, i}
 378 [3]: (0001C1) 000111000001 {a, g, h, i}
 379 [3]: (000231) 001000110001 {a, e, f, j}
 380 [3]: (000251) 001001010001 {a, e, g, j}
 381 [3]: (000261) 001001100001 {a, f, g, j}
 382 [3]: (000291) 001010010001 {a, e, h, j}
 383 [3]: (0002A1) 001010100001 {a, f, h, j}
 384 [3]: (0002C1) 001011000001 {a, g, h, j}
 385 [3]: (000311) 001100010001 {a, e, i, j}
 386 [3]: (000321) 001100100001 {a, f, i, j}
 387 [3]: (000341) 001101000001 {a, g, i, j}
 388 [3]: (000381) 001110000001 {a, h, i, j}
 389 [3]: (000431) 010000110001 {a, e, f, k}
 390 [3]: (000451) 010001010001 {a, e, g, k}
 391 [3]: (000461) 010001100001 {a, f, g, k}
 392 [3]: (000491) 010010010001 {a, e, h, k}
 393 [3]: (0004A1) 010010100001 {a, f, h, k}
 394 [3]: (0004C1) 010011000001 {a, g, h, k}
 395 [3]: (000511) 010100010001 {a, e, i, k}
 396 [3]: (000521) 010100100001 {a, f, i, k}
 397 [3]: (000541) 010101000001 {a, g, i, k}
 398 [3]: (000581) 010110000001 {a, h, i, k}
 399 [3]: (000611) 011000010001 {a, e, j, k}
 400 [3]: (000621) 011000100001 {a, f, j, k}
 401 [3]: (000641) 011001000001 {a, g, j, k}
 402 [3]: (000681) 011010000001 {a, h, j, k}
 403 [3]: (000701) 011100000001 {a, i, j, k}
 404 [3]: (000831) 100000110001 {a, e, f, l}
 405 [3]: (000851) 100001010001 {a, e, g, l}
 406 [3]: (000861) 100001100001 {a, f, g, l}
 407 [3]: (000891) 100010010001 {a, e, h, l}
 408 [3]: (0008A1) 100010100001 {a, f, h, l}
 409 [3]: (0008C1) 100011000001 {a, g, h, l}
 410 [3]: (000911) 100100010001 {a, e, i, l}
 411 [3]: (000921) 100100100001 {a, f, i, l}
 412 [3]: (000941) 100101000001 {a, g, i, l}
 413 [3]: (000981) 100110000001 {a, h, i, l}
 414 [3]: (000A11) 101000010001 {a, e, j, l}
 415 [3]: (000A21) 101000100001 {a, f, j, l}
 416 [3]: (000A41) 101001000001 {a, g, j, l}
 417 [3]: (000A81) 101010000001 {a, h, j, l}
 418 [3]: (000B01) 101100000001 {a, i, j, l}
 419 [3]: (000C11) 110000010001 {a, e, k, l}
 420 [3]: (000C21) 110000100001 {a, f, k, l}
 421 [3]: (000C41) 110001000001 {a, g, k, l}
 422 [3]: (000C81) 110010000001 {a, h, k, l}
 423 [3]: (000D01) 110100000001 {a, i, k, l}
 424 [3]: (000E01) 111000000001 {a, j, k, l}

=== d = 4 ===
 425 [4]: (0000F0) 000011110000 {e, f, g, h}
 426 [4]: (000170) 000101110000 {e, f, g, i}
 427 [4]: (0001B0) 000110110000 {e, f, h, i}
 428 [4]: (0001D0) 000111010000 {e, g, h, i}
 429 [4]: (0001E0) 000111100000 {f, g, h, i}
 430 [4]: (000270) 001001110000 {e, f, g, j}
 431 [4]: (0002B0) 001010110000 {e, f, h, j}
 432 [4]: (0002D0) 001011010000 {e, g, h, j}
 433 [4]: (0002E0) 001011100000 {f, g, h, j}
 434 [4]: (000330) 001100110000 {e, f, i, j}
 435 [4]: (000350) 001101010000 {e, g, i, j}
 436 [4]: (000360) 001101100000 {f, g, i, j}
 437 [4]: (000390) 001110010000 {e, h, i, j}
 438 [4]: (0003A0) 001110100000 {f, h, i, j}
 439 [4]: (0003C0) 001111000000 {g, h, i, j}
 440 [4]: (000470) 010001110000 {e, f, g, k}
 441 [4]: (0004B0) 010010110000 {e, f, h, k}
 442 [4]: (0004D0) 010011010000 {e, g, h, k}
 443 [4]: (0004E0) 010011100000 {f, g, h, k}
 444 [4]: (000530) 010100110000 {e, f, i, k}
 445 [4]: (000550) 010101010000 {e, g, i, k}
 446 [4]: (000560) 010101100000 {f, g, i, k}
 447 [4]: (000590) 010110010000 {e, h, i, k}
 448 [4]: (0005A0) 010110100000 {f, h, i, k}
