** FASE 1: Generazione dei 3-subset a distanza casuale (2)
** Base set: 0000000000000000000111 {a, b, c}
 274 [2]: (024002) 0000100100000000000010 {b, o, r}
 275 [2]: (028002) 0000101000000000000010 {b, p, r}
 276 [2]: (030002) 0000110000000000000010 {b, q, r}
 277 [2]: (04000A) 0001000000000000001010 {b, d, s}
 278 [2]: (040012) 0001000000000000010010 {b, e, s}
 279 [2]: (040022) 0001000000000000100010 {b, f, s}
 280 [2]: (040042) 0001000000000001000010 {b, g, s}
 281 [2]: (040082) 0001000000000010000010 {b, h, s}
 282 [2]: (040102) 0001000000000100000010 {b, i, s}
 283 [2]: (040202) 0001000000001000000010 {b, j, s}
 284 [2]: (040402) 0001000000010000000010 {b, k, s}
 285 [2]: (040802) 0001000000100000000010 {b, l, s}
 286 [2]: (041002) 0001000001000000000010 {b, m, s}
 287 [2]: (042002) 0001000010000000000010 {b, n, s}
 288 [2]: (044002) 0001000100000000000010 {b, o, s}
 289 [2]: (048002) 0001001000000000000010 {b, p, s}
 290 [2]: (050002) 0001010000000000000010 {b, q, s}
 291 [2]: (060002) 0001100000000000000010 {b, r, s}
 292 [2]: (08000A) 0010000000000000001010 {b, d, t}
 293 [2]: (080012) 0010000000000000010010 {b, e, t}
 294 [2]: (080022) 0010000000000000100010 {b, f, t}
 295 [2]: (080042) 0010000000000001000010 {b, g, t}
 296 [2]: (080082) 0010000000000010000010 {b, h, t}
 297 [2]: (080102) 0010000000000100000010 {b, i, t}
 298 [2]: (080202) 0010000000001000000010 {b, j, t}
 299 [2]: (080402) 0010000000010000000010 {b, k, t}
 300 [2]: (080802) 0010000000100000000010 {b, l, t}
 301 [2]: (081002) 0010000001000000000010 {b, m, t}
 302 [2]: (082002) 0010000010000000000010 {b, n, t}
 303 [2]: (084002) 0010000100000000000010 {b, o, t}
 304 [2]: (088002) 0010001000000000000010 {b, p, t}
 305 [2]: (090002) 0010010000000000000010 {b, q, t}
 306 [2]: (0A0002) 0010100000000000000010 {b, r, t}
 307 [2]: (0C0002) 0011000000000000000010 {b, s, t}
 308 [2]: (10000A) 0100000000000000001010 {b, d, u}
 309 [2]: (100012) 0100000000000000010010 {b, e, u}
 310 [2]: (100022) 0100000000000000100010 {b, f, u}
