** FASE 1: Generazione dei 6-subset a distanza casuale (5)
 244 [2]: (000917) 100100010111 {a, b, c, e, i, l}
 245 [2]: (000A17) 101000010111 {a, b, c, e, j, l}
 246 [2]: (000C17) 110000010111 {a, b, c, e, k, l}
 247 [2]: (0000CF) 000011001111 {a, b, c, d, g, h}
 248 [2]: (00014F) 000101001111 {a, b, c, d, g, i}
 249 [2]: (00018F) 000110001111 {a, b, c, d, h, i}
 250 [2]: (00024F) 001001001111 {a, b, c, d, g, j}
 251 [2]: (00028F) 001010001111 {a, b, c, d, h, j}
 252 [2]: (00030F) 001100001111 {a, b, c, d, i, j}
 253 [2]: (00044F) 010001001111 {a, b, c, d, g, k}
 254 [2]: (00048F) 010010001111 {a, b, c, d, h, k}
 255 [2]: (00050F) 010100001111 {a, b, c, d, i, k}
 256 [2]: (00060F) 011000001111 {a, b, c, d, j, k}
 257 [2]: (00084F) 100001001111 {a, b, c, d, g, l}
 258 [2]: (00088F) 100010001111 {a, b, c, d, h, l}
 259 [2]: (00090F) 100100001111 {a, b, c, d, i, l}
 260 [2]: (000A0F) 101000001111 {a, b, c, d, j, l}
 261 [2]: (000C0F) 110000001111 {a, b, c, d, k, l}

=== d = 3 ===
 262 [3]: (0001F8) 000111111000 {d, e, f, g, h, i}
 263 [3]: (0002F8) 001011111000 {d, e, f, g, h, j}
 264 [3]: (000378) 001101111000 {d, e, f, g, i, j}
 265 [3]: (0003B8) 001110111000 {d, e, f, h, i, j}
 266 [3]: (0004F8) 010011111000 {d, e, f, g, h, k}
 267 [3]: (000578) 010101111000 {d, e, f, g, i, k}
 268 [3]: (0005B8) 010110111000 {d, e, f, h, i, k}
 269 [3]: (000678) 011001111000 {d, e, f, g, j, k}
 270 [3]: (0006B8) 011010111000 {d, e, f, h, j, k}
 271 [3]: (000738) 011100111000 {d, e, f, i, j, k}
 272 [3]: (0008F8) 100011111000 {d, e, f, g, h, l}
 273 [3]: (000978) 100101111000 {d, e, f, g, i, l}
 274 [3]: (0009B8) 100110111000 {d, e, f, h, i, l}
 275 [3]: (000A78) 101001111000 {d, e, f, g, j, l}
 276 [3]: (000AB8) 101010111000 {d, e, f, h, j, l}
 277 [3]: (000B38) 101100111000 {d, e, f, i, j, l}
 278 [3]: (000C78) 110001111000 {d, e, f, g, k, l}
 279 [3]: (000CB8) 110010111000 {d, e, f, h, k, l}
 280 [3]: (000D38) 110100111000 {d, e, f, i, k, l}
 281 [3]: (000E38) 111000111000 {d, e, f, j, k, l}
 282 [3]: (0001F4) 000111110100 {c, e, f, g, h, i}
 283 [3]: (0002F4) 001011110100 {c, e, f, g, h, j}
 284 [3]: (000374) 001101110100 {c, e, f, g, i, j}
 285 [3]: (0003B4) 001110110100 {c, e, f, h, i, j}
 286 [3]: (0004F4) 010011110100 {c, e, f, g, h, k}
 287 [3]: (000574) 010101110100 {c, e, f, g, i, k}
 288 [3]: (0005B4) 010110110100 {c, e, f, h, i, k}
 289 [3]: (000674) 011001110100 {c, e, f, g, j, k}
 290 [3]: (0006B4) 011010110100 {c, e, f, h, j, k}
 291 [3]: (000734) 011100110100 {c, e, f, i, j, k}
 292 [3]: (0008F4) 100011110100 {c, e, f, g, h, l}
 293 [3]: (000974) 100101110100 {c, e, f, g, i, l}
 294 [3]: (0009B4) 100110110100 {c, e, f, h, i, l}
 295 [3]: (000A74) 101001110100 {c, e, f, g, j, l}
 296 [3]: (000AB4) 101010110100 {c, e, f, h, j, l}
 297 [3]: (000B34) 101100110100 {c, e, f, i, j, l}
 298 [3]: (000C74) 110001110100 {c, e, f, g, k, l}
 299 [3]: (000CB4) 110010110100 {c, e, f, h, k, l}
 300 [3]: (000D34) 110100110100 {c, e, f, i, k, l}
 301 [3]: (000E34) 111000110100 {c, e, f, j, k, l}
 302 [3]: (0001F2) 000111110010 {b, e, f, g, h, i}
 303 [3]: (0002F2) 001011110010 {b, e, f, g, h, j}
 304 [3]: (000372) 001101110010 {b, e, f, g, i, j}
 305 [3]: (0003B2) 001110110010 {b, e, f, h, i, j}
 306 [3]: (0004F2) 010011110010 {b, e, f, g, h, k}
 307 [3]: (000572) 010101110010 {b, e, f, g, i, k}
 308 [3]: (0005B2) 010110110010 {b, e, f, h, i, k}
 309 [3]: (000672) 011001110010 {b, e, f, g, j, k}
 310 [3]: (0006B2) 011010110010 {b, e, f, h, j, k}
 311 [3]: (000732) 011100110010 {b, e, f, i, j, k}
 312 [3]: (0008F2) 100011110010 {b, e, f, g, h, l}
 313 [3]: (000972) 100101110010 {b, e, f, g, i, l}
